,Region,Name,Latitude,Longitude
0,1, Sở GDĐT Hà Nội,21.02332049,105.8470351
0,2, Sở GDĐT TP. Hồ Chí Minh,10.77834459,106.7002702
0,3, Sở GDĐT Hải Phòng,20.85950199,106.6831608
0,4, Sở GDĐT Đà Nẵng,16.07801354,108.2208591
0,5, Sở GDĐT Hà Giang,22.82931999,104.9803785
0,6, Sở GDĐT Cao Bằng,22.65735632,105.9688695
0,7, Sở GDĐT Lai Châu,22.38992089,103.4741692
0,8, Sở GDĐT Lào Cai,22.46070211,103.9731552
0,9, Sở GDĐT Tuyên Quang,21.82287999,105.2061759
0,10, Sở GDĐT Lạng Sơn,21.84666159,106.7538043
0,11, Sở GDĐT Bắc Kạn,22.15811029,105.8402305
0,12, Sở GDĐT Thái Nguyên,21.59683664,105.8227227
0,13, Sở GDĐT Yên Bái,21.72607719,104.9043501
0,14, Sở GDĐT Sơn La,21.33583589,103.9106698
0,15, Sở GDĐT Phú Thọ,21.32333619,105.3927442
0,16, Sở GDĐT Vĩnh Phúc,21.30749844,105.6151772
0,17, Sở GDĐT Quảng Ninh,20.95619509,107.098972
0,18, Sở GDĐT Bắc Giang,21.28701509,106.2055743
0,19, Sở GDĐT Bắc Ninh,21.18228269,106.0730351
0,20, Sở GDĐT Bắc Ninh,21.18228269,106.0730351
0,21, Sở GDĐT Hải Dương,20.94278119,106.3323254
0,22, Sở GDĐT Hưng Yên,20.66951359,106.0572387
0,23, Sở GDĐT Hoà Bình,20.82723269,105.3382224
0,24, Sở GDĐT Hà Nam,20.53797299,105.9014943
0,25, Sở GDĐT Nam Định,20.43505359,106.1800573
0,26, Sở GDĐT Thái Bình,20.44336129,106.3341728
0,27, Sở GDĐT Ninh Bình,20.26726029,105.9645835
0,28, Sở GDĐT Thanh Hoá,19.80301439,105.7726157
0,29, Sở GDĐT Nghệ An,18.67302289,105.6779053
0,30, Sở GDĐT Hà Tĩnh,18.34089079,105.9050978
0,31, Sở GDĐT Quảng Bình,17.47053519,106.6053119
0,32, Sở GDĐT Quảng Trị,16.81824009,107.0945743
0,33, Sở GDĐT Thừa Thiên ,16.46499139,107.5857877
0,34, Sở GDĐT Quảng Nam,15.57754169,108.4709588
0,35, Sở GDĐT Quảng Ngãi,15.12229969,108.7966193
0,36, Sở GDĐT Kon Tum,14.35380809,107.9979903
0,37, Sở GDĐT Bình Định,13.77160829,109.2248542
0,38, Sở GDĐT Gia Lai,13.98003229,108.0018097
0,39, Sở GDĐT Phú Yên,13.09886109,109.3151257
0,40, Sở GDĐT Đắk Lắk,12.68123099,108.0455827
0,41, Sở GDĐT Khánh Hoà,12.25386819,109.1922529
0,42, Sở GDĐT Lâm Đồng,11.93632909,108.4297834
0,43, Sở GDĐT Bình Phước,11.53114839,106.8761011
0,44, Sở GDĐT Bình Dương,11.05680709,106.6802384
0,45, Sở GDĐT Ninh Thuận,11.56484039,108.9877652
0,46, Sở GDĐT Tây Ninh,11.31347999,106.1018778
0,47, Sở GDĐT Bình Thuận,10.92841399,108.1044828
0,48, Sở GDĐT Đồng Nai,10.94475649,106.8156323
0,49, Sở GDĐT Long An,10.53037759,106.3918051
0,50, Sở GDĐT Đồng Tháp,10.45885989,105.6315997
0,51, Sở GDĐT An Giang,10.38851049,105.4339721
0,52, Sở GDĐT Bà Rịa,10.48936029,107.1779722
0,53, Sở GDĐT Tiền Giang,10.37844469,106.3634659
0,54, Sở GDĐT Kiên Giang,9.99163109,105.0881064
0,55, Sở GDĐT Cần Thơ,10.03136859,105.7707719
0,56, Sở GDĐT Bến Tre,10.23785379,106.3757366
0,57, Sở GDĐT Vĩnh Long,10.25500389,105.9692673
0,58, Sở GDĐT Trà Vinh,9.93819439,106.3373502
0,59, Sở GDĐT Sóc Trăng,9.59377799,105.9708223
0,60, Sở GDĐT Bạc Liêu,9.29460229,105.7320306
0,61, Sở GDĐT Cà Mau,9.18120729,105.1445621
0,62, Sở GDĐT Điện Biên,21.38034609,103.0142692
0,63, Sở GDĐT Đăk Nông,12.00539669,107.6930372
0,64, Sở GDĐT Hậu Giang,9.78590144,105.4651077
