,SBD,Toan,Van,NgoaiNgu,VatLy,HoaHoc,SinhHoc,DiemTBTuNhien,LichSu,DiaLy,GDCD,DiemTBXaHoi
0,14000001,6.40,6.00,2.80,,,,,4.50,5.00,8.50,6.00
1,14000002,8.00,6.50,5.60,2.00,4.25,4.50,3.58,,,,
2,14000003,5.80,7.25,,,,,,6.50,7.75,,4.75
3,14000004,7.80,6.50,4.00,7.00,5.00,4.75,5.58,,,,
4,14000005,7.60,7.25,7.20,,,,,7.00,8.00,9.25,8.08
5,14000006,3.00,5.75,3.00,,,,,4.50,6.00,6.50,5.67
6,14000007,7.80,6.75,5.60,,,,,4.00,6.75,9.00,6.58
7,14000008,6.80,7.00,3.60,,,,,6.75,6.00,8.50,7.08
8,14000009,5.00,5.00,,,,,,4.25,,,1.42
9,14000010,8.20,6.00,4.20,,,,,5.00,6.75,9.50,7.08
10,14000011,4.60,4.50,3.40,,,,,3.50,6.50,7.75,5.92
11,14000012,3.20,4.25,3.20,,,,,4.00,6.25,8.50,6.25
12,14000013,3.80,3.75,3.60,,,,,5.50,6.25,7.75,6.50
13,14000014,3.40,3.25,,,,,,4.75,,,1.58
14,14000015,8.20,5.50,3.00,5.50,5.25,3.75,4.83,,,,
15,14000016,6.40,,,,7.00,6.50,4.50,,,,
16,14000017,8.40,6.50,4.40,4.50,8.00,7.75,6.75,,,,
17,14000018,6.80,7.50,3.20,,,,,9.25,8.25,9.00,8.83
18,14000019,8.60,7.50,5.40,,,,,7.50,7.75,9.25,8.17
19,14000020,7.00,7.00,6.40,,,,,5.50,7.25,8.00,6.92
20,14000021,6.20,7.00,4.00,,,,,6.00,7.00,7.75,6.92
21,14000022,6.60,7.00,5.20,,,,,7.00,8.00,8.50,7.83
22,14000023,6.80,6.00,2.80,5.50,3.25,4.00,4.25,,,,
23,14000024,5.60,4.25,2.80,6.50,4.75,3.75,5.00,,,,
24,14000025,2.40,4.75,2.80,,,,,4.75,5.50,5.75,5.33
25,14000026,4.40,7.00,1.20,,,,,7.00,8.50,8.00,7.83
26,14000027,5.80,6.25,3.60,,,,,5.75,7.00,8.50,7.08
