,Latitude,Longitude,Name,Region,id
0,21.02332049,105.8470351,Hà Nội,1,23
0,10.77834459,106.7002702,TP. Hồ Chí Minh,2,26
0,20.85950199,106.6831608,Hải Phòng,3,30
0,16.07801354,108.2208591,Đà Nẵng,4,1
0,22.82931999,104.9803785,Hà Giang,5,22
0,22.65735632,105.9688695,Cao Bằng,6,19
0,22.38992089,103.4741692,Lai Châu,7,37
0,22.46070211,103.9731552,Lào Cai,8,35
0,21.82287999,105.2061759,Tuyên Quang,9,60
0,21.84666159,106.7538043,Lạng Sơn,10,38
0,22.15811029,105.8402305,Bắc Kạn,11,15
0,21.59683664,105.8227227,Thái Nguyên,12,55
0,21.72607719,104.9043501,Yên Bái,13,63
0,21.33583589,103.9106698,Sơn La,14,52
0,21.32333619,105.3927442,Phú Thọ,15,44
0,21.30749844,105.6151772,Vĩnh Phúc,16,62
0,20.95619509,107.098972,Quảng Ninh,17,49
0,21.28701509,106.2055743,Bắc Giang,18,14
0,21.18228269,106.0730351,Bắc Ninh,19,16
0,21.18228269,106.0730351,Bắc Ninh,20,16
0,20.94278119,106.3323254,Hải Dương,21,29
0,20.66951359,106.0572387,Hưng Yên,22,28
0,20.82723269,105.3382224,Hoà Bình,23,27
0,20.53797299,105.9014943,Hà Nam,24,24
0,20.43505359,106.1800573,Nam Định,25,40
0,20.44336129,106.3341728,Thái Bình,26,54
0,20.26726029,105.9645835,Ninh Bình,27,42
0,19.80301439,105.7726157,Thanh Hoá,28,57
0,18.67302289,105.6779053,Nghệ An,29,41
0,18.34089079,105.9050978,Hà Tĩnh,30,25
0,17.47053519,106.6053119,Quảng Bình,31,46
0,16.81824009,107.0945743,Quảng Trị,32,50
0,16.46499139,107.5857877,Thừa Thiên,33,56
0,15.57754169,108.4709588,Quảng Nam,34,47
0,15.12229969,108.7966193,Quảng Ngãi,35,48
0,14.35380809,107.9979903,Kon Tum,36,34
0,13.77160829,109.2248542,Bình Định,37,9
0,13.98003229,108.0018097,Gia Lai,38,21
0,13.09886109,109.3151257,Phú Yên,39,45
0,12.68123099,108.0455827,Đắk Lắk,40,5
0,12.25386819,109.1922529,Khánh Hoà,41,32
0,11.93632909,108.4297834,Lâm Đồng,42,36
0,11.53114839,106.8761011,Bình Phước,43,11
0,11.05680709,106.6802384,Bình Dương,44,10
0,11.56484039,108.9877652,Ninh Thuận,45,43
0,11.31347999,106.1018778,Tây Ninh,46,53
0,10.92841399,108.1044828,Bình Thuận,47,12
0,10.94475649,106.8156323,Đồng Nai,48,2
0,10.53037759,106.3918051,Long An,49,39
0,10.45885989,105.6315997,Đồng Tháp,50,3
0,10.38851049,105.4339721,An Giang,51,7
0,10.48936029,107.1779722,Bà Rịa,52,8
0,10.37844469,106.3634659,Tiền Giang,53,58
0,9.99163109,105.0881064,Kiên Giang,54,33
0,10.03136859,105.7707719,Cần Thơ,55,20
0,10.23785379,106.3757366,Bến Tre,56,17
0,10.25500389,105.9692673,Vĩnh Long,57,61
0,9.93819439,106.3373502,Trà Vinh,58,59
0,9.59377799,105.9708223,Sóc Trăng,59,51
0,9.29460229,105.7320306,Bạc Liêu,60,13
0,9.18120729,105.1445621,Cà Mau,61,18
0,21.38034609,103.0142692,Điện Biên,62,6
0,12.00539669,107.6930372,Đăk Nông,63,4
0,9.78590144,105.4651077,Hậu Giang,64,31
